Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.')",2143636.8197957342,14367165.070526207,433665.41334824817,7697108.142407846,3
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",2143738.0667072358,12550575.127626687,433727.39194754825,6982241.540905192,3
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2143882.2453099107,12506958.458517734,433728.8713353383,7082120.405392965,3
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",2143618.155215659,13426891.981556326,433675.7880230411,7066739.249780819,3
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",2143570.814666298,13781254.098118281,433653.8627008721,7129606.705576113,3
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",2143745.274961957,13003682.044868972,433661.4651287838,11423219.454432461,3
"('Chlorine.dosage..L.d.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",2143562.0823152177,13400376.086072065,433647.3703734297,7115647.063588225,3
"('Chlorine.dosage..L.d.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2143584.796686679,14844566.226150941,433677.5173508396,8257902.099990975,3
"('Chlorine.dosage..L.d.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2143676.352429929,11817347.115545345,433731.10982600326,10055468.060359128,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.')",2143528.9308562544,9236050.772998009,433620.3265241715,7923303.8107623765,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.')",2143496.1922041215,9289277.566862866,433623.79391896963,7998597.567447888,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",2143582.2353879204,11065688.469021145,433634.55733095447,9162725.73311676,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",2143530.190006613,9237709.13907772,433622.4225258489,7921549.947621665,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",2143501.207388169,10108983.408366397,433596.85363717354,8352316.013844685,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.')",2143533.747625491,7113484.291027935,433611.29023852973,8577974.846094891,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'pH.Pre.chlorination')",2143558.4739370556,11794285.435935093,433639.76641434024,10084370.898358941,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.')",2143489.8725769212,9201065.53188904,433628.64101968415,8096491.021303433,4
