Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine.Dosage..L.d.', 'BOD.Influent...ppm.', 'pH.Pre.chlorination')",0.5954320522592521,1.9443415726319369,0.0569540168522765,0.10076667479452808,3
"('Chlorine.Dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.')",0.7114662850899107,2.003921819793849,0.029296111677323412,0.13977136112038058,3
"('Chlorine.Dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.')",0.7034846299977298,1.9729631791674502,0.04501201078774852,0.10410080550516902,3
"('Chlorine.Dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",0.7857983533092077,1.9287210394420253,0.07710833009480415,0.1335713976178092,3
"('Chlorine.Dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",0.720687270796183,1.9733611804743003,0.063302702224165,0.1553196557317244,3
"('Chlorine.Dosage..L.d.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",0.6530187888463057,1.9124624346678332,0.06216849207733746,0.19508709444932607,3
"('Chlorine.Dosage..L.d.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",0.7214507266855525,1.976209021488599,0.0732044240689417,0.08479562581079506,3
"('Chlorine.Dosage..L.d.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",0.6671338366504846,1.9768149548772176,0.05286150826125913,0.1105069225568613,3
"('Chlorine.Dosage..L.d.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",0.7060221405575011,1.8419155227507762,0.04653369330625394,0.08450235089389804,3
"('Chlorine.Dosage..L.d.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",0.5928975636218051,1.8631165802520815,0.06477360989719066,0.09537906198925561,3
"('Chlorine.Dosage..L.d.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",0.7087615204496285,1.9554678604255424,0.07208944743910803,0.140639837774144,3
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.')",0.5796642639392944,1.7443951192168032,0.050659312726892725,0.1221505109225047,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.')",0.5791798127770137,1.8377507681003074,0.06987931720592457,0.1803036911673033,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",0.5923734032875644,1.8425640227848223,0.030529102772786358,0.1291337422576098,4
