y_test_CAS,y_test_CAS_dropped,y_pred_final_CAS,y_pred_final_CAS_dropped,y_pred_oob_imputed_CAS,y_pred_oob_CAS,y_pred_naive_CAS,y_pred_naive_orig_CAS
5,,3.9527986,,5.02431,,2.34638744,2.307439189
0.442,,1.1610503,,0.83737385,,2.34638744,2.307439189
5,,3.2950096,,3.2180848,,2.34638744,2.307439189
2.6682,,2.9167712,,2.3271058,,2.34638744,2.307439189
1.9582,,3.3309643,,2.2021546,,2.34638744,2.307439189
0.547,,0.5911318,,1.5780679,,2.34638744,2.307439189
3.3226,,3.0872824,,3.837754,,2.34638744,2.307439189
0.091,,0.26210025,,0.25650275,,2.34638744,2.307439189
1.174,,2.1822083,,2.3345811,,2.34638744,2.307439189
3.564,,2.8803983,,4.6080737,,2.34638744,2.307439189
5,,3.556698,,3.762676,,2.34638744,2.307439189
0.76,,1.8525714,,4.2585707,,2.34638744,2.307439189
2.585,,3.8632739,,4.7091713,,2.34638744,2.307439189
1.1668,,1.2162622,,2.5621266,,2.34638744,2.307439189
5,,3.5817432,,3.9821203,,2.34638744,2.307439189
0.987,,3.2073965,,3.2865317,,2.34638744,2.307439189
5,,3.9604325,,3.8415031,,2.34638744,2.307439189
