Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.')",0.789341290528022,1.9870539363797353,0.023255725654794376,0.11095692900408013,3
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.')",0.8521530539622623,2.04428523561831,0.06693728063166515,0.07558776756001771,3
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",0.8223372855552938,1.9640785769670572,0.0677433856330073,0.15269226770209648,3
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",0.766183113274401,1.9329766865347389,0.04390991092220946,0.15825522136783302,3
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",0.8900080367977541,1.9732171678749442,0.10735597912455197,0.14877241618356665,3
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",0.8294114181227267,1.9681499520911037,0.0792325982779744,0.08762786097283475,3
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",0.7565665532302364,1.9546762764094319,0.046591198936232446,0.1713166380246876,3
"('Chlorine.dosage..L.d.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",0.9284177442347206,2.0258472777904797,0.11695221952344602,0.1097521664987886,3
"('Chlorine.dosage..L.d.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",0.8194683104717513,2.0112855212037224,0.052762713466264585,0.18809209148277536,3
"('Chlorine.dosage..L.d.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",0.7812851033124346,1.9866998744110629,0.03330078384924498,0.14769229641835777,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.')",0.6921871123428778,1.8682431345643447,0.09421292315867225,0.08067875153587885,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.')",0.5092925686537655,1.8690546709426297,0.04665723132877692,0.07070707941871057,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",0.5781382740355959,1.834994065261323,0.03558838945389345,0.06293981772391591,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",0.6519783248139385,1.8420297814979985,0.07563977726800321,0.12175832510042976,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",0.637087592512855,1.8384547704583212,0.06618573177607708,0.050706635658174085,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.')",0.6668605856510104,1.9304924988878018,0.06938828559856364,0.16948292861027056,4
