y_test_MBBR,y_test_MBBR_dropped,y_pred_final_MBBR,y_pred_final_MBBR_dropped,y_pred_oob_imputed_MBBR,y_pred_oob_MBBR,y_pred_naive_MBBR,y_pred_naive_orig_MBBR
11.0,2.0,1732.8422,2.4671626,2694.8857,2.2232852,4182.178448275862,892.0166666666667
2.0,2.0,5739.25,-34.344826,3171.134,3.4875531,4182.178448275862,892.0166666666667
2.0,10.0,-370.87128,-38.61588,-643.96356,16.210608,4182.178448275862,892.0166666666667
10.0,10.0,781.61163,9.963613,-834.1667,9.87791,4182.178448275862,892.0166666666667
10.0,23.0,4950.6543,-154.1315,2271.1494,20.043852,4182.178448275862,892.0166666666667
15477.6,8.0,3350.6982,-5.110976,2636.1443,12.28536,4182.178448275862,892.0166666666667
10.0,10.0,7961.503,9.576224,948.38403,9.82608,4182.178448275862,892.0166666666667
19797.6,10.0,451.07416,12.381042,613.14246,11.753469,4182.178448275862,892.0166666666667
23.0,2.0,12031.2705,2.607807,10882.196,2.0167737,4182.178448275862,892.0166666666667
4846.6,2.0,7543.5093,1.374669,6174.1406,4.0603247,4182.178448275862,892.0166666666667
8.0,2.0,2402.435,3.7864494,2214.3413,1.3637917,4182.178448275862,892.0166666666667
10.0,2.0,-592.71295,3.0993626,-680.78723,6.3977547,4182.178448275862,892.0166666666667
10.0,2.0,28.274574,9.924201,-819.03033,6.0097113,4182.178448275862,892.0166666666667
2.0,2.0,1796.8792,4.3394117,-903.9847,4.4067755,4182.178448275862,892.0166666666667
811.6,10.0,18272.643,-170.82538,14428.267,8.303284,4182.178448275862,892.0166666666667
2.0,10.0,2791.5144,9.272301,1823.2739,9.444237,4182.178448275862,892.0166666666667
2.0,10.0,-767.0961,8.086174,-667.5107,11.955251,4182.178448275862,892.0166666666667
2.0,52.0,-610.71436,53.871937,627.70636,50.902607,4182.178448275862,892.0166666666667
50.4,197.0,-69.19818,15.559959,-636.9028,32.056705,4182.178448275862,892.0166666666667
24117.6,19863.0,19539.316,24110.115,20045.271,24193.635,4182.178448275862,892.0166666666667
2.0,2.0,-610.6344,10.139009,-658.57855,2.406135,4182.178448275862,892.0166666666667
2.0,10.0,1998.7706,9.963613,5202.9365,9.87791,4182.178448275862,892.0166666666667
167.2,10.0,6497.502,12.383912,8213.852,9.038557,4182.178448275862,892.0166666666667
8.4,2.0,8188.597,2.8845544,3727.896,3.2898855,4182.178448275862,892.0166666666667
12.0,10.0,12729.811,9.371281,6800.17,8.425263,4182.178448275862,892.0166666666667
11.6,10.0,-397.27048,10.339005,-354.348,10.170327,4182.178448275862,892.0166666666667
10.0,2.0,7871.427,4.4473553,4901.527,6.1669736,4182.178448275862,892.0166666666667
15.6,10.0,249.46326,9.353188,-1110.9655,10.544606,4182.178448275862,892.0166666666667
