Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine.Dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.')",280094.32561107294,723562.1339913339,139562.2543668205,1433892.150291299,3
"('Chlorine.Dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.')",280147.5127905952,723455.1094180015,139457.04787076628,1434230.9319131607,3
"('Chlorine.Dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",280077.7752864616,723720.4451265486,139589.5931016855,1434117.1144110807,3
"('Chlorine.Dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280076.41978417465,723456.423660739,139600.12090765854,1433942.0258587527,3
"('Chlorine.Dosage..L.d.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",280155.85232995235,1529716.3261953606,139448.13485251475,1870514.4768454917,3
"('Chlorine.Dosage..L.d.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",280072.60788363806,1775335.703846824,139612.23798172534,1728906.9731096292,3
"('Chlorine.Dosage..L.d.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",280098.8418660988,1529606.22564125,139563.7025201566,1870485.1816362925,3
"('Chlorine.Dosage..L.d.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",280067.87218783604,2354795.8497784613,139611.1782538072,1926315.6246775892,3
"('Chlorine.Dosage..L.d.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280067.97360258753,1299953.5546552124,139619.16000539766,1599694.6981443677,3
"('Chlorine.Dosage..L.d.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280075.07808397134,2354804.2904594545,139600.8514831899,1926135.600823222,3
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.')",280090.1428951273,1292947.4223727153,139559.7530239122,1593328.7729451726,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.')",280085.0408114924,1539462.901752762,139572.73237271167,1883871.0748374988,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",280055.8030624425,723336.9622130219,139625.79058945697,1433949.5407818865,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",280050.72107863444,1529560.0690766047,139647.2688037592,1870574.390938311,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",280098.67872783233,2122291.1758755227,139550.09988304818,1215881.3320893557,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.')",280094.08080675255,2354921.709679884,139555.1101143696,1926283.9408684997,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'pH.Pre.chlorination')",280077.97778918676,1876225.9897910233,139583.77313077025,1547632.275097485,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.')",280065.3422807807,1292674.0546123188,139608.62239449346,1593420.8295869513,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",280064.06543378095,1292616.4870795994,139610.20210381222,1593166.8534247286,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",280039.09146160126,1292760.949389998,139658.77476782704,1593021.0861461763,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",280102.367185695,1292773.999013503,139533.82343867057,1593432.8188999891,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.')",280088.1214518431,1292826.8873386732,139562.42245863436,1592877.8555700525,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'pH.Pre.chlorination')",280043.1648612364,1292585.1805473955,139651.24935582676,1592665.454848883,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent...ppm.', 'BOD.Pre.chlorination..ppm.')",280058.2423098866,723432.3362086012,139620.01337835082,1434227.4117736765,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent...ppm.', 'COD.Influent..ppm.')",280036.5288843704,1529482.0679158878,139674.59579156284,1870644.3346791456,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent...ppm.', 'COD.Pre.chlorination..ppm.')",280079.97780888097,1539293.685130292,139581.38395615097,1883912.2086852116,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent...ppm.', 'TSS.Pre.chlorination..ppm.')",280099.4228899188,2355160.790433524,139544.50187854,1926474.3516353958,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent...ppm.', 'pH.Pre.chlorination')",280071.91420486313,1538959.3531569715,139595.811937058,1883240.519699783,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.')",280035.9048852616,723522.3969843449,139662.41774049902,1433802.7125806008,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.')",280054.29301150783,723319.7233361138,139626.79344989295,1434344.7329242264,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",280068.8774753335,723105.1758191793,139597.92722907144,1433261.9896341146,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280044.9622429508,723344.8228738776,139646.51574830487,1434173.3606183988,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",280055.37831413775,1529483.175402342,139635.46645682643,1870587.3719810008,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",280045.1985208385,1775592.2486618548,139658.1848135717,1729486.4980810755,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",280096.83020318794,1529456.4362947023,139553.52306593274,1870446.956363602,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",280081.9266396474,2354757.554486095,139574.56340717766,1926365.1057445726,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280031.5848374831,1876243.1684570848,139674.38035972035,1548084.0205014402,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280072.42747702886,2354602.9552759277,139598.42661028626,1926227.7507036654,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.')",280127.59307152993,1293146.1390307,139494.49965082962,1593075.4213867483,4
